StockName,TotalWeight,AvgWeight,ETF_Count,Rank
미래에셋생명,0.01,0.01,1,473
케이카,0.01,0.01,1,474
동국제약,0.01,0.01,1,475
더네이쳐홀딩스,0.01,0.01,1,476
보령,0.01,0.01,1,477
DSR,0.01,0.01,1,478
DS단석,0.01,0.01,1,479
노루페인트,0.01,0.01,1,480
KCC글라스,0.01,0.01,1,481
코스피200 F 202603,0.0,0.0,2,482
DISCO,0.0,0.0,1,483
DELTA ELECTRONICS,0.0,0.0,1,484
자화전자,0.0,0.0,1,485
Chroma ATE Inc,0.0,0.0,1,486
지누스,0.0,0.0,1,487
현대차     F 202603 (  10),0.0,0.0,1,488
IBIDEN,0.0,0.0,1,489
Furukawa Electric Co Ltd,0.0,0.0,1,490
JX Advanced Metals Corp,0.0,0.0,1,491
ASE INDUSTRIAL HOLDINGS,0.0,0.0,1,492
SCREEN Holdings Co Ltd,0.0,0.0,1,493
영진약품,0.0,0.0,1,494
다우데이타,0.0,0.0,1,495
두산로보틱 F 202603 (  10),0.0,0.0,1,496
동국홀딩스,0.0,0.0,1,497
동국씨엠,0.0,0.0,1,498
하나머티리얼즈,0.0,0.0,1,499
하나마이크론,0.0,0.0,1,500
삼성전자   F 202603 (  10),0.0,0.0,1,501
한신공영,0.0,0.0,1,502
대동,0.0,0.0,1,503
설정현금액,0.0,0.0,1,504
King Yuan Electronics Co Ltd,0.0,0.0,1,505
광동제약,0.0,0.0,1,506
Union Tool Co,0.0,0.0,1,507
Unimicron Technology Corp,0.0,0.0,1,508
TAIWAN SEMICONDUCTOR MANUFAC,0.0,0.0,1,509
Nitto Boseki Co Ltd,0.0,0.0,1,510
Nanya Technology Corp,0.0,0.0,1,511
Maruwa Co Ltd/Aichi,0.0,0.0,1,512
Kioxia Holdings Corp,0.0,0.0,1,513
ADVANTEST CORP,0.0,0.0,1,514
